"","Number_of_Genomes","Pan_gene","class","genome_presence"
"1",0,27856,"Core Gene",26
"2",1,2803,"Softcore Gene",25
"3",2,1306,"Softcore Gene",24
"4",3,945,"Dispensible Gene",23
"5",4,947,"Dispensible Gene",22
"6",5,887,"Dispensible Gene",21
"7",6,909,"Dispensible Gene",20
"8",7,919,"Dispensible Gene",19
"9",8,850,"Dispensible Gene",18
"10",9,954,"Dispensible Gene",17
"11",10,935,"Dispensible Gene",16
"12",11,1072,"Dispensible Gene",15
"13",12,1146,"Dispensible Gene",14
"14",13,1260,"Dispensible Gene",13
"15",14,1326,"Dispensible Gene",12
"16",15,1465,"Dispensible Gene",11
"17",16,1641,"Dispensible Gene",10
"18",17,1858,"Dispensible Gene",9
"19",18,2153,"Dispensible Gene",8
"20",19,2610,"Dispensible Gene",7
"21",20,2923,"Dispensible Gene",6
"22",21,3681,"Dispensible Gene",5
"23",22,5063,"Dispensible Gene",4
"24",23,6360,"Dispensible Gene",3
"25",24,10477,"Dispensible Gene",2
"26",25,20314,"Private Gene",1
