NAM,Post_fill,Before_fill
B73,55773,70013
B97,55462,68896
CML103,55838,69280
CML228,56006,69431
CML247,55680,69102
CML277,55728,69159
CML322,56026,68789
CML333,55498,69016
CML52,56587,70712
CML69,55709,69242
HP301,55986,69375
Il14H,56112,68935
Ki11,55776,69497
Ki3,55539,68839
Ky21,55478,68729
M162W,55252,68493
M37W,55282,68548
Mo18W,55617,68452
Ms71,55593,68852
NC350,55629,69230
NC358,55746,69541
Oh43,55693,69271
Oh7B,55687,68982
P39,56017,68201
Tx303,55751,68668
Tzi8,55670,68793
