NAM,Post_fill,Before_fill
B73,55279,70013
B97,54968,68896
CML103,55351,69280
CML228,55521,69431
CML247,55193,69102
CML277,55249,69159
CML322,55534,68789
CML333,55011,69016
CML52,56097,70712
CML69,55224,69242
HP301,55495,69375
Il14H,55630,68935
Ki11,55287,69497
Ki3,55046,68839
Ky21,54995,68729
M162W,54760,68493
M37W,54797,68548
Mo18W,55140,68452
Ms71,55100,68852
NC350,55136,69230
NC358,55254,69541
Oh43,55207,69271
Oh7B,55256,68982
P39,55534,68201
Tx303,55266,68668
Tzi8,55186,68793
