,NAM,Gene_Type,Sum_gene,gene_pct
4,B73,Soft Gene       ,4015,8.405736418
8,B97,Soft Gene       ,4030,8.382560945
12,CML103,Soft Gene       ,3980,8.343815514
16,CML228,Soft Gene       ,3796,7.986198771
20,CML247,Soft Gene       ,4002,8.362238288
24,CML277,Soft Gene       ,3977,8.318343443
28,CML322,Soft Gene       ,3803,8.004293652
32,CML333,Soft Gene       ,4015,8.357618651
36,CML52,Soft Gene       ,3600,7.667568316
40,CML69,Soft Gene       ,4000,8.363126973
44,HP301,Soft Gene       ,3987,8.384505384
48,Il14H,Soft Gene       ,3948,8.324547716
52,Ki11,Soft Gene       ,3966,8.303672376
56,Ki3,Soft Gene       ,4035,8.406425134
60,Ky21,Soft Gene       ,3979,8.27923429
64,M162W,Soft Gene       ,3932,8.143147082
68,M37W,Soft Gene       ,3993,8.2746187
72,Mo18W,Soft Gene       ,3849,8.031969283
76,Ms71,Soft Gene       ,4000,8.342892898
80,NC350,Soft Gene       ,4028,8.407606087
84,NC358,Soft Gene       ,4019,8.409357215
88,Oh43,Soft Gene       ,3959,8.274636848
92,Oh7B,Soft Gene       ,3546,7.410503438
96,P39,Soft Gene       ,3858,8.118516024
100,Tx303,Soft Gene       ,4009,8.3893109
104,Tzi8,Soft Gene       ,3904,8.155761678
3,B73,Private Gene    ,414,0.866743431
7,B97,Private Gene    ,533,1.108661286
11,CML103,Private Gene    ,802,1.681341719
15,CML228,Private Gene    ,781,1.643103593
19,CML247,Private Gene    ,908,1.897279452
23,CML277,Private Gene    ,966,2.020497804
27,CML322,Private Gene    ,785,1.652214177
31,CML333,Private Gene    ,865,1.800582848
35,CML52,Private Gene    ,807,1.718813231
39,CML69,Private Gene    ,903,1.887975914
43,HP301,Private Gene    ,708,1.488896366
47,Il14H,Private Gene    ,810,1.707923924
51,Ki11,Private Gene    ,776,1.624722583
55,Ki3,Private Gene    ,708,1.47503073
59,Ky21,Private Gene    ,564,1.173533084
63,M162W,Private Gene    ,606,1.25502216
67,M37W,Private Gene    ,846,1.753149867
71,Mo18W,Private Gene    ,1244,2.59593915
75,Ms71,Private Gene    ,558,1.163833559
79,NC350,Private Gene    ,691,1.442317727
83,NC358,Private Gene    ,684,1.431201875
87,Oh43,Private Gene    ,620,1.295851186
91,Oh7B,Private Gene    ,1204,2.516143863
95,P39,Private Gene    ,872,1.83497822
99,Tx303,Private Gene    ,797,1.667817607
103,Tzi8,Private Gene    ,938,1.959555444
2,B73,Dispensible Gene,15426,32.29561394
6,B97,Dispensible Gene,15603,32.45486313
10,CML103,Dispensible Gene,15008,31.46331237
14,CML228,Dispensible Gene,15045,31.65236052
18,CML247,Dispensible Gene,15038,31.42212378
22,CML277,Dispensible Gene,14957,31.28425016
26,CML322,Dispensible Gene,15014,31.60043778
30,CML333,Dispensible Gene,15250,31.74437968
34,CML52,Dispensible Gene,14634,31.1686652
38,CML69,Dispensible Gene,15016,31.39517866
42,HP301,Dispensible Gene,14947,31.4329576
46,Il14H,Dispensible Gene,14758,31.11795218
50,Ki11,Dispensible Gene,15110,31.63602864
54,Ki3,Dispensible Gene,15346,31.97149941
58,Ky21,Dispensible Gene,15607,32.47399084
62,M162W,Dispensible Gene,15838,32.80039763
66,M37W,Dispensible Gene,15507,32.13486406
70,Mo18W,Dispensible Gene,14918,31.13040212
74,Ms71,Dispensible Gene,15477,32.28073835
78,NC350,Dispensible Gene,15280,31.89379866
82,NC358,Dispensible Gene,15179,31.7605457
86,Oh43,Dispensible Gene,15356,32.09530776
90,Oh7B,Dispensible Gene,15191,31.74646298
94,P39,Dispensible Gene,14881,31.31457671
98,Tx303,Dispensible Gene,15071,31.53786595
102,Tzi8,Dispensible Gene,15116,31.57850756
1,B73,Core Gene       ,27910,58.43190621
5,B97,Core Gene       ,27910,58.05391464
9,CML103,Core Gene       ,27910,58.5115304
13,CML228,Core Gene       ,27910,58.71833712
17,CML247,Core Gene       ,27910,58.31835848
21,CML277,Core Gene       ,27910,58.3769086
25,CML322,Core Gene       ,27910,58.74305439
29,CML333,Core Gene       ,27910,58.09741882
33,CML52,Core Gene       ,27910,59.44495325
37,CML69,Core Gene       ,27910,58.35371846
41,HP301,Core Gene       ,27910,58.69364065
45,Il14H,Core Gene       ,27910,58.84957618
49,Ki11,Core Gene       ,27910,58.4355764
53,Ki3,Core Gene       ,27910,58.14704473
57,Ky21,Core Gene       ,27910,58.07324178
61,M162W,Core Gene       ,27910,57.80143313
65,M37W,Core Gene       ,27910,57.83736737
69,Mo18W,Core Gene       ,27910,58.24168945
73,Ms71,Core Gene       ,27910,58.2125352
77,NC350,Core Gene       ,27910,58.25627753
81,NC358,Core Gene       ,27910,58.39889521
85,Oh43,Core Gene       ,27910,58.3342042
89,Oh7B,Core Gene       ,27910,58.32688972
93,P39,Core Gene       ,27910,58.73192904
97,Tx303,Core Gene       ,27910,58.40500555
101,Tzi8,Core Gene       ,27910,58.30617532
