Genome	Copia	Gypsy	LTR_unknown	CACTA	Mutator	PIF_Harbinger	Tc1_Mariner	hAT	centromeric_repeat	knob	low_complexity	L1_LINE	LINE_element	RTE_LINE	helitron	rDNA_spacer	subtelomere	Total	
B73_AB10_pcnt	24.77%	44.15%	5.01%	2.92%	0.95%	1.05%	0.51%	1.13%	0.22%	2.61%	0.01%	0.26%	0.06%	0.08%	1.88%	0.06%	0.05%	85.72%	
B73Ab10_pcnt	24.70%	44.06%	5.02%	3.04%	1.15%	1.07%	0.44%	1.19%	0.20%	2.61%	0.01%	0.26%	0.06%	0.08%	1.86%	0.06%	0.05%	85.87%	
B73_pcnt	24.92%	44.25%	5.02%	2.96%	0.99%	1.06%	0.55%	1.15%	0.22%	1.67%	0.04%	0.26%	0.06%	0.09%	1.89%	0.09%	0.05%	85.26%	
B97_pcnt	25.01%	45.69%	3.27%	2.97%	0.91%	1.07%	0.56%	1.15%	0.27%	2.11%	0.01%	0.26%	0.06%	0.09%	1.92%	0.09%	0.06%	85.50%	
CML103_pcnt	25.00%	46.16%	3.85%	2.98%	0.95%	1.07%	0.52%	1.17%	0.27%	1.03%	0.01%	0.26%	0.07%	0.09%	1.89%	0.05%	0.04%	85.40%	
CML228_pcnt	25.01%	46.17%	3.63%	3.00%	1.01%	1.07%	0.56%	1.13%	0.24%	1.40%	0.01%	0.26%	0.06%	0.08%	1.88%	0.06%	0.03%	85.60%	
CML247_pcnt	24.34%	46.12%	4.33%	2.96%	0.94%	1.05%	0.51%	1.14%	0.27%	1.52%	0.00%	0.26%	0.07%	0.09%	1.88%	0.05%	0.04%	85.57%	
CML277_pcnt	25.36%	46.16%	3.56%	3.01%	0.94%	1.06%	0.51%	1.16%	0.24%	1.11%	0.01%	0.25%	0.06%	0.08%	1.89%	0.05%	0.04%	85.48%	
CML322_pcnt	24.11%	45.34%	4.43%	2.92%	1.02%	1.06%	0.43%	1.15%	0.34%	2.60%	0.01%	0.26%	0.06%	0.09%	1.84%	0.05%	0.04%	85.74%	
CML333_pcnt	24.02%	45.53%	4.53%	2.95%	0.99%	1.06%	0.42%	1.15%	0.31%	2.43%	0.01%	0.25%	0.06%	0.09%	1.88%	0.05%	0.05%	85.79%	
CML52_pcnt	23.96%	46.52%	4.32%	3.01%	1.02%	1.07%	0.43%	1.18%	0.28%	1.46%	0.01%	0.25%	0.06%	0.09%	1.89%	0.05%	0.04%	85.63%	
CML69_pcnt	24.68%	45.45%	4.19%	2.93%	0.99%	1.07%	0.42%	1.16%	0.21%	2.15%	0.01%	0.25%	0.07%	0.09%	1.84%	0.06%	0.04%	85.61%	
HP301_pcnt	24.58%	46.51%	4.02%	2.99%	0.97%	1.08%	0.53%	1.17%	0.25%	0.80%	0.01%	0.26%	0.06%	0.09%	1.93%	0.05%	0.04%	85.34%	
Il14H_pcnt	24.37%	45.36%	5.55%	3.01%	1.00%	1.09%	0.53%	1.18%	0.27%	0.52%	0.01%	0.27%	0.06%	0.09%	1.95%	0.03%	0.04%	85.34%	
Ki11_pcnt	24.24%	43.81%	4.64%	2.90%	0.92%	1.02%	0.51%	1.10%	0.30%	3.83%	0.03%	0.25%	0.06%	0.09%	1.83%	0.05%	0.05%	85.62%	
Ki3_pcnt	24.93%	46.03%	3.61%	2.96%	1.02%	1.06%	0.43%	1.15%	0.34%	1.72%	0.01%	0.25%	0.06%	0.09%	1.86%	0.07%	0.04%	85.63%	
Ky21_pcnt	24.83%	46.38%	3.65%	2.96%	0.91%	1.06%	0.56%	1.19%	0.25%	1.22%	0.01%	0.26%	0.06%	0.09%	1.91%	0.05%	0.04%	85.41%	
M162W_pcnt	24.73%	45.79%	3.98%	2.99%	0.95%	1.06%	0.51%	1.16%	0.38%	1.37%	0.01%	0.26%	0.07%	0.09%	1.89%	0.15%	0.04%	85.42%	
M37W_pcnt	24.97%	44.97%	4.54%	3.03%	0.90%	1.07%	0.56%	1.15%	0.24%	1.61%	0.01%	0.26%	0.06%	0.09%	1.90%	0.08%	0.04%	85.48%	
Mo18W_pcnt	24.74%	45.34%	3.58%	2.93%	0.91%	1.05%	0.50%	1.13%	0.34%	2.58%	0.01%	0.25%	0.06%	0.08%	1.87%	0.13%	0.05%	85.56%	
Ms71_pcnt	24.88%	45.82%	3.58%	3.02%	0.96%	1.07%	0.51%	1.15%	0.32%	1.88%	0.01%	0.26%	0.06%	0.09%	1.90%	0.03%	0.04%	85.59%	
NC350_pcnt	24.10%	44.95%	3.55%	2.88%	0.89%	1.02%	0.49%	1.11%	0.35%	4.06%	0.03%	0.25%	0.06%	0.08%	1.82%	0.09%	0.03%	85.77%	
NC358_pcnt	24.25%	44.63%	5.06%	2.93%	0.91%	1.05%	0.49%	1.13%	0.35%	2.44%	0.01%	0.25%	0.07%	0.09%	1.86%	0.06%	0.05%	85.62%	
Oh43_pcnt	24.79%	44.80%	4.93%	2.99%	0.94%	1.07%	0.51%	1.16%	0.29%	1.46%	0.01%	0.27%	0.07%	0.09%	1.91%	0.02%	0.04%	85.36%	
