Genome	Size
B73	2.3
B97	2.2839
CML103	2.3092
CML228	2.3644
CML247	2.3506
CML277	2.3368
CML322	2.3046
CML333	2.4012
CML52	2.3322
CML69	2.4978
HP301	2.208
IL14H	2.1022
Ki11	2.3805
Ki3	2.3483
Ky21	2.2862
M162W	2.2379
M37W	2.3299
Mo18W	2.3276
MS71	2.1919
NC350	2.3943
NC358	2.2724
Oh43	2.2218
Oh7b	2.2034
P39	2.0907
Tx303	2.346
Tzi8	2.346
