"","Query_gene","B73","Tzi8","Ky21","M162W","Ms71","Oh7B","Oh43","M37W","Mo18W","NC350","HP301","Il14H","P39","CML52","CML69","Ki11","CML228","CML247","CML277","CML322","CML333","Ki3","CML103","Tx303","NC358","B97","occurance_genome","Min_copy","Max_copy","spread"
"1","Zm00001eb000400_T001",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,26,1,2,1
"2","Zm00001eb000540_T001",1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,2,1,2,1,2,0,1,1,25,0,2,2
"3","Zm00001eb000550_T003",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,26,1,2,1
"4","Zm00001eb000560_T001",1,1,1,1,1,2,0,0,1,1,1,1,0,2,1,1,0,0,1,0,0,1,1,0,1,0,17,0,2,2
"5","Zm00001eb000570_T002",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,26,1,2,1
"6","Zm00001eb000580_T001",1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,1,2,1
"7","Zm00001eb000600_T001",1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,26,1,3,2
"8","Zm00001eb000650_T001",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,1,3,2
"9","Zm00001eb000660_T002",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,1,2,1
"10","Zm00001eb000670_T002",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,1,2,1
"11","Zm00001eb000680_T002",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,26,1,2,1
"12","Zm00001eb000880_T001",1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,26,1,2,1
"13","Zm00001eb001010_T001",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,26,1,2,1
"14","Zm00001eb001020_T001",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,26,1,2,1
"15","Zm00001eb001140_T004",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,26,1,2,1
"16","Zm00001eb001180_T001",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,26,1,2,1
"17","Zm00001eb001260_T001",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,26,1,2,1
"18","Zm00001eb001280_T001",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,1,2,1
"19","Zm00001eb001430_T001",1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,5,1,1,26,1,5,4
"20","Zm00001eb001530_T001",1,1,2,2,1,1,2,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,2,1,2,1,26,1,2,1
"21","Zm00001eb001550_T001",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,1,1,1,1,1,1,26,1,4,3
"22","Zm00001eb001560_T001",1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,26,1,2,1
"23","Zm00001eb001570_T001",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,26,1,2,1
"24","Zm00001eb001590_T001",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,1,1,1,1,26,1,4,3
"25","Zm00001eb001630_T001",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,26,1,2,1
"26","Zm00001eb001680_T001",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,1,2,1
"27","Zm00001eb001820_T001",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,1,2,1
"28","Zm00001eb001830_T001",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,26,1,2,1
"29","Zm00001eb001880_T001",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,1,2,1
"30","Zm00001eb001920_T001",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,26,1,2,1
"31","Zm00001eb002060_T001",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,1,2,1
"32","Zm00001eb002090_T001",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,26,1,2,1
"33","Zm00001eb002100_T001",1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,26,1,2,1
"34","Zm00001eb002190_T001",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,26,1,2,1
"35","Zm00001eb002250_T002",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,26,1,2,1
"36","Zm00001eb002270_T001",1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,1,2,1
"37","Zm00001eb002290_T001",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,26,1,2,1
"38","Zm00001eb002300_T001",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,26,1,2,1
"39","Zm00001eb002310_T001",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,26,1,2,1
"40","Zm00001eb002380_T001",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,2,1,1,1,26,1,2,1
"41","Zm00001eb002560_T001",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,26,1,2,1
"42","Zm00001eb002590_T001",1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,26,1,2,1
"43","Zm00001eb002600_T002",1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,26,1,2,1
"44","Zm00001eb002620_T003",1,2,1,1,1,2,1,1,2,2,2,1,1,2,1,2,2,1,2,2,1,1,1,1,1,2,26,1,2,1
"45","Zm00001eb002640_T001",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,26,1,2,1
"46","Zm00001eb002660_T002",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,26,1,2,1
"47","Zm00001eb002680_T001",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,26,1,2,1
