Genome	From	TO	Intact_pcnt	Total_pcnt	raw_LAI	LAI
B73_AB10	1	2235437263	0.232	0.7634	30.39	27.99
W22v2	1	2133880228	0.1707	0.7634	22.36	19.96
Mo17v1	1	2182650641	0.2214	0.7634	29	26.6
B73v4	1	2134373047	0.222	0.7634	29.08	26.68
B73v5	1	2182075994	0.2309	0.7634	30.24	27.84
B97	1	2193119567	0.2325	0.7634	30.46	28.06
CML103	1	2162442623	0.2344	0.7634	30.7	28.3
CML228	1	2300771431	0.2315	0.7634	30.33	27.93
CML247	1	2214752841	0.2354	0.7634	30.84	28.44
CML277	1	2190797087	0.2317	0.7634	30.35	27.95
CML322	1	2219249226	0.2354	0.7634	30.84	28.44
CML333	1	2231258642	0.2346	0.7634	30.73	28.33
CML52	1	2307686232	0.2315	0.7634	30.32	27.92
CML69	1	2224898283	0.2346	0.7634	30.74	28.34
HP301	1	2140953885	0.2324	0.7634	30.45	28.05
Il14H	1	2124542321	0.2308	0.7634	30.23	27.83
Ki11	1	2273842682	0.2293	0.7634	30.04	27.64
Ki3	1	2215855242	0.2341	0.7634	30.67	28.27
Ky21	1	2171651705	0.2327	0.7634	30.48	28.08
M162W	1	2184328883	0.2328	0.7634	30.49	28.09
M37W	1	2192403321	0.2327	0.7634	30.49	28.09
Mo18W	1	2223232620	0.2306	0.7634	30.21	27.81
Ms71	1	2214047242	0.2314	0.7634	30.31	27.91
NC350	1	2290503892	0.2317	0.7634	30.36	27.96
NC358	1	2227419732	0.2338	0.7634	30.62	28.22
Oh43	1	2176495488	0.2313	0.7634	30.29	27.89
Oh7b	1	2164755757	0.2324	0.7634	30.44	28.04
P39	1	2138709147	0.2291	0.7634	30.01	27.61
Tx303	1	2215809567	0.2299	0.7634	30.11	27.71
Tzi8	1	2271025286	0.2313	0.7634	30.3	27.9
