Pan_gene_id,Rep_transcript,B73,Tzi8,Ky21,M162W,Ms71,Oh7B,Oh43,M37W,Mo18W,NC350,HP301,Il14H,P39,CML52,CML69,Ki11,CML228,CML247,CML277,CML322,CML333,Ki3,CML103,Tx303,NC358,B97,na_count,class,Subgenome,number_genome_presence
Zm00019ab045530,Zm00019ab045530_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00019ab045530_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00019ab270230,Zm00019ab270230_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00019ab270230_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00019ab305170,Zm00019ab305170_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00019ab305170_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00021ab067880,Zm00021ab067880_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00021ab067880_T001,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab025700,Zm00022ab025700_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab025700_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab129190,Zm00022ab129190_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab129190_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab129250,Zm00022ab129250_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab129250_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab129360,Zm00022ab129360_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab129360_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab129380,Zm00022ab129380_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab129380_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab129420,Zm00022ab129420_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab129420_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab129460,Zm00022ab129460_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab129460_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
