Genome	Copia	Gypsy	LTR_unknown	CACTA	Mutator	PIF_Harbinger	Tc1_Mariner	hAT	centromeric_repeat	knob	low_complexity	L1_LINE	LINE_element	RTE_LINE	helitron	rDNA_spacer	subtelomere	Total	
B73_AB10_bp	553114473	985859135	111866898	65231962	21149666	23530960	11283610	25222440	4852181	58211237	138342	5893419	1418714	1881044	41908944	1294653	1211064	1914068742	
B73Ab10_bp	553663755	987427489	112438690	68243574	25712626	24021247	9915997	26671444	4557802	58509624	175225	5909061	1416266	1883227	41700705	1378150	1022577	1924647459	
B73_bp	542722352	963823502	109382957	64434751	21543364	23120694	11880010	25035813	4887218	36445675	811919	5738561	1360793	1852449	41156553	1908114	1056312	1857161037	
B97_bp	547730296	1000554901	71660902	65039853	19879570	23495340	12242184	25134785	5944385	46125544	249609	5647811	1358799	1938322	42052414	2022029	1208130	1872284874	
CML103_bp	539326908	995704861	83022825	64304483	20492536	23087596	11156115	25237676	5849506	22127705	199440	5562518	1418739	1874452	40869937	1066247	904600	1842206144	
CML228_bp	568408609	1049551884	82440423	68141969	22894428	24372993	12793000	25741712	5369820	31794792	184648	5820123	1393366	1931695	42711263	1415533	769791	1945736049	
CML247_bp	536688364	1016754087	95531709	65169785	20783696	23224867	11268138	25055105	5846456	33546886	108450	5649236	1479195	1917487	41414665	1013306	930210	1886381642	
CML277_bp	553112479	1007009064	77621162	65578906	20546303	23087353	11037688	25263494	5261444	24217437	137940	5455217	1349395	1852279	41213058	1066168	800812	1864610199	
CML322_bp	534186930	1004647995	98213530	64685486	22592295	23471678	9447930	25500246	7614271	57610127	144063	5674549	1321298	1985950	40804415	1075900	957867	1899934530	
CML333_bp	535210719	1014494671	100999008	65744409	22068469	23515301	9448994	25710823	6942828	54137371	131232	5671324	1359742	1894538	41821907	1155495	1025118	1911331949	
CML52_bp	547699941	1063490989	98672402	68922523	23230811	24417924	9842439	26878296	6438090	33340565	209747	5807499	1454617	1974214	43303284	1029291	979086	1957691718	
CML69_bp	547563781	1008225795	93018434	65022127	21992172	23733372	9412645	25719501	4650341	47690888	123561	5635330	1453810	1957298	40727188	1285204	861007	1899072454	
HP301_bp	525258981	993845740	85865176	63811593	20814665	23144746	11340392	24897357	5308411	17075085	127068	5565362	1318916	1924734	41180866	995783	939714	1823414589	
Il14H_bp	516934208	962240210	117819208	63829527	21292446	23129572	11266999	24961730	5785176	11020121	151088	5668673	1370778	1900449	41324555	650658	796680	1810142078	
Ki11_bp	550459431	995054681	105356381	65782448	20908208	23119796	11488429	24928617	6910951	87019996	630036	5768524	1455769	1957852	41492928	1171287	1070240	1944575574	
Ki3_bp	550339708	1016007572	79767642	65376726	22592427	23458304	9460730	25434475	7405219	37887995	126751	5523045	1398907	1892735	41031422	1476842	885304	1890065804	
Ky21_bp	537538800	1004042616	79035513	64038377	19721652	22973648	12064766	25773897	5382239	26491945	121995	5562366	1338720	1913571	41324681	1029772	849071	1849203629	
M162W_bp	539245405	998413528	86695446	65176101	20800493	23127485	11050774	25205795	8284415	29853307	249182	5677468	1464841	1898026	41258651	3251391	851208	1862503516	
M37W_bp	547063839	985001461	99440934	66271379	19685319	23375488	12207976	25266511	5340876	35251721	160863	5760725	1399320	1897748	41630564	1791438	823954	1872370116	
Mo18W_bp	548087408	1004568589	79349459	64845841	20239726	23334071	11120552	25126758	7451678	57181916	207029	5614248	1385688	1865442	41464073	2885398	1028024	1895755900	
Ms71_bp	549657164	1012185049	78985875	66772605	21184411	23673509	11225471	25390553	7124306	41443131	214964	5848604	1363222	1934710	42080303	713296	899746	1890696919	
NC350_bp	551700817	1028888158	81255981	65938700	20330978	23262795	11276585	25346691	8109391	92982836	760376	5680365	1435963	1920134	41641989	2014417	711024	1963257200	
NC358_bp	539231637	992394120	112423639	65119763	20315277	23246292	10971068	25155084	7675064	54205130	182610	5627972	1480871	1900059	41434009	1383369	1027855	1903773819	
Oh43_bp	538975372	973913787	107255973	65087842	20473435	23238835	10995886	25221833	6276734	31745100	163950	5859007	1452224	1938766	41560477	412446	967480	1855539147	
Oh7b_bp	546945138	995979518	72982550	64471173	19542325	23074811	12330028	25103129	5158552	21478625	148440	5601179	1376465	1899623	41188384	1009596	871100	1839160636	
P39_bp	514602883	964556761	115722266	64004744	21074380	23133510	11315649	24980052	6683881	21479008	262627	5793635	1379816	1939834	41948298	788088	618929	1820284361	
Tx303_bp	547153963	983288601	100075574	65379507	22551821	23491327	9390599	25598631	7018253	53925730	428759	5569173	1365427	1909330	41713305	738099	730424	1890328523	
Tzi8_bp	558213117	1038764068	87380530	68099829	22519226	23956912	9578647	25915038	4628913	40684806	144266	5853190	1455141	1882619	42326038	1140198	793795	1933336333	
