NAM_line,Chr,Group,Start,End,Array.size..bp.,Repeat.content..bp.,Repeat.Percentage,X100N,Ngap.Percentage,AF013103.1,CentC,CL569186.1,knob180,TR.1,type,structure,Cyto_vis,Cyto_type,Name,Notes
B73,chr1,1,1,16625,16624,16385,0.986,NA,0,0,0,0,1,0,knob180,single,,,,
B97,chr1,1,1,23920,23919,23534,0.984,NA,0,0,0,0,1,0,knob180,single,,,,
CML103,chr1,1,1,14602,14601,14359,0.983,NA,0,0,0,0,1,0,knob180,single,,,,
CML277,chr1,1,1,15911,15910,15698,0.987,NA,0,0,0,0,1,0,knob180,single,YES,,,
CML322,chr1,1,1,12144,12143,11929,0.982,NA,0,0,0,0,1,0,knob180,single,,,,
CML333,chr1,1,1,22450,22449,22101,0.984,NA,0,0,0,0,1,0,knob180,single,,,,
CML52,chr1,1,1,10491,10490,10381,0.99,NA,0,0,0,0,1,0,knob180,single,,,,
HP301,chr1,1,1,21938,21937,21592,0.984,NA,0,0,0,0,1,0,knob180,single,,,,
Ki11,chr1,1,1,29687,29686,29147,0.982,NA,0,0,0,0,1,0,knob180,single,,,,
Ki3,chr1,1,1,46671,46670,38645,0.828,NA,0,0,0,0,1,0,knob180,single,,,,
Ky21,chr1,1,1,72322,72321,59522,0.823,NA,0,0,0,0,1,0,knob180,single,YES,mixed,1S,
M162W,chr1,1,1,10187,10186,10072,0.989,NA,0,0,0,0,1,0,knob180,single,,,,
NC350,chr1,1,1,23837,23836,23430,0.983,NA,0,0,0,0,1,0,knob180,single,,,,
Oh43,chr1,1,1,22783,22782,22425,0.984,NA,0,0,0,0,1,0,knob180,single,,,,
Oh7b,chr1,1,1,13020,13019,12830,0.985,NA,0,0,0,0,1,0,knob180,single,,,,
Tx303,chr1,1,1,25992,25991,25524,0.982,NA,0,0,0,0,1,0,knob180,single,,,,
IL14H,chr1,1,4,17656,17652,17352,0.983,NA,0,0,0,0,1,0,knob180,single,YES,knob180,1S,
M37W,chr1,1,5,41914,41909,31572,0.753,NA,0,0,0,0,1,0,knob180,single,,,,
MS71,chr1,1,7,26033,26026,25571,0.983,NA,0,0,0,0,1,0,knob180,single,,,,
CML228,chr1,1,8,12004,11996,11836,0.987,NA,0,0,0,0,1,0,knob180,single,,,,
NC358,chr1,1,8,12374,12366,12206,0.987,NA,0,0,0,0,1,0,knob180,single,,,,
CML247,chr1,1,9,17843,17834,17509,0.982,NA,0,0,0,0,1,0,knob180,single,,,,
Tzi8,chr1,1,17,10496,10479,10347,0.987,NA,0,0,0,0,1,0,knob180,single,,,,
Mo18W,chr1,1,24,20502,20478,20149,0.984,NA,0,0,0,0,1,0,knob180,single,,,,
CML247,chr1,3,1038444,1195008,156564,39014,0.249,NA,0,0,0,0,1,0,knob180,single,,,,
Ki11,chr1,3,1084217,1204490,120273,40480,0.337,NA,0,0,0,0,1,0,knob180,single,,,,
Ki3,chr1,3,1114707,1280393,165686,54235,0.327,NA,0,0,0,0,1,0,knob180,single,,,,
Ki3,chr1,4,1932000,2143655,211655,87899,0.415,NA,0,0,0,0,1,0,knob180,single,,,,
CML228,chr1,3,2145707,2307246,161539,52986,0.328,NA,0,0,0,0,1,0,knob180,single,,,,
CML247,chr1,4,2200517,2333828,133311,32751,0.246,NA,0,0,0,0,1,0,knob180,single,,,,
Ki11,chr1,4,2207046,2320948,113902,22140,0.194,NA,0,0,0,0,1,0,knob180,single,,,,
CML69,chr1,2,8366683,8495607,128924,22840,0.177,NA,0,0,0,0,1,0,knob180,single,,,,
Mo18W,chr1,3,8537620,8661890,124270,19600,0.158,NA,0,0,0,0,1,0,knob180,single,,,,
B97,chr1,3,8551445,8679033,127588,22838,0.179,NA,0,0,0,0,1,0,knob180,single,,,,
CML277,chr1,3,8654197,8678383,24186,12788,0.529,NA,0,0,0,0,1,0,knob180,single,YES,knob180,1S,
Tx303,chr1,3,8678414,8784961,106547,24251,0.228,NA,0,0,0,0,1,0,knob180,single,YES,,,
NC350,chr1,3,8783079,8914429,131350,19070,0.145,NA,0,0,0,0,1,0,knob180,single,,,,
Tzi8,chr1,3,8785946,8805360,19414,12076,0.622,NA,0,0,0,0,1,0,knob180,single,,,,
Tzi8,chr1,4,8913091,8930165,17074,8613,0.504,NA,0,0,0,0,1,0,knob180,single,,,,
M37W,chr1,3,8919074,8943707,24633,17292,0.702,NA,0,0,0,0,1,0,knob180,single,,,,
CML333,chr1,3,8961305,8985938,24633,17292,0.702,NA,0,0,0,0,1,0,knob180,single,,,,
HP301,chr1,3,8965187,9092801,127614,22838,0.179,NA,0,0,0,0,1,0,knob180,single,,,,
NC358,chr1,3,9000510,9126917,126407,20322,0.161,NA,0,0,0,0,1,0,knob180,single,,,,
Oh43,chr1,3,9019205,9043838,24633,17292,0.702,NA,0,0,0,0,1,0,knob180,single,,,,
CML103,chr1,3,9078464,9210210,131746,25712,0.195,NA,0,0,0,0,1,0,knob180,single,,,,
Oh7b,chr1,3,9232375,9257008,24633,17292,0.702,NA,0,0,0,0,1,0,knob180,single,,,,
M162W,chr1,3,9347090,9474635,127545,22838,0.179,NA,0,0,0,0,1,0,knob180,single,,,,
CML322,chr1,3,9615780,9684251,68471,24350,0.356,NA,0,0,0,0,1,0,knob180,single,,,,
Ki11,chr1,5,10823208,10848201,24993,17648,0.706,NA,0,0,0,0,1,0,knob180,single,,,,
CML52,chr1,3,10903902,10925477,21575,14234,0.66,NA,0,0,0,0,1,0,knob180,single,,,,
B73,chr1,3,11337853,11384281,46428,5914,0.127,NA,0,0,0,0,0,1,TR-1,single,,,,
MS71,chr1,3,11471974,11518120,46146,5914,0.128,NA,0,0,0,0,0,1,TR-1,single,,,,
CML247,chr1,5,11607239,11629352,22113,14769,0.668,NA,0,0,0,0,1,0,knob180,single,,,,
B97,chr1,4,11642132,11688563,46431,5915,0.127,NA,0,0,0,0,0,1,TR-1,single,,,,
CML247,chr1,6,11748588,11787910,39322,17185,0.437,NA,0,0,0,0,1,0,knob180,single,,,,
CML69,chr1,3,11788869,11835299,46430,5914,0.127,NA,0,0,0,0,0,1,TR-1,single,,,,
CML277,chr1,4,11851496,11902726,51230,6018,0.117,NA,0,0,0,0,0,1,TR-1,single,YES,knob180,1S,
P39,chr1,2,11941471,11965548,24077,5942,0.247,NA,0,0,0,0,0,1,TR-1,single,,,,
IL14H,chr1,3,12000369,12046779,46410,5914,0.127,NA,0,0,0,0,0,1,TR-1,single,,,,
Ky21,chr1,3,12030889,12077276,46387,5915,0.128,NA,0,0,0,0,0,1,TR-1,single,YES,mixed,1S,
Tx303,chr1,4,12036203,12082631,46428,5914,0.127,NA,0,0,0,0,0,1,TR-1,single,YES,,,
M37W,chr1,4,12061323,12107752,46429,5914,0.127,NA,0,0,0,0,0,1,TR-1,single,,,,
Mo18W,chr1,4,12062069,12108475,46406,5914,0.127,NA,0,0,0,0,0,1,TR-1,single,,,,
